student_id,quiz_attempts,questions_attempted,correct_answers,wrong_answers,accuracy,avg_time_per_question,easy_correct,medium_correct,hard_correct,previous_avg_score,current_elo_rating,question_difficulty_rating,total_answered,student_level
45,2,11,8,3,0.71,56.04,4,2,1,98.0,494.6,411.9,25,Intermediate
387,1,13,12,1,0.935,21.45,4,5,1,98.0,541.1,-399.5,4,Advanced
328,2,14,3,11,0.222,67.08,5,3,0,85.7,200.9,519.7,63,Beginner
220,3,25,4,21,0.171,64.49,8,7,2,78.93,285.6,583.7,14,Beginner
217,4,12,11,1,0.913,29.81,3,3,0,62.8,145.8,-258.0,97,Intermediate
430,2,16,6,10,0.38,34.2,2,0,0,20.0,-422.8,-333.8,85,Beginner
43,3,11,10,1,0.892,23.15,4,3,4,98.0,663.3,-274.9,23,Advanced
349,5,20,17,3,0.843,26.8,7,7,6,98.0,580.1,178.2,108,Advanced
101,3,13,1,12,0.05,60.32,4,3,0,57.74,156.4,566.5,45,Beginner
48,5,13,4,9,0.308,38.49,2,2,1,61.68,21.4,121.5,100,Beginner
264,2,16,14,2,0.903,30.57,5,5,2,83.25,216.0,22.5,142,Advanced
488,5,15,13,2,0.845,15.03,5,5,0,98.0,566.9,-351.0,109,Advanced
368,3,11,9,2,0.823,25.86,4,1,0,55.55,89.9,-302.6,46,Intermediate
381,1,19,17,2,0.894,33.74,6,7,5,98.0,802.6,-322.6,72,Advanced
359,5,20,1,19,0.05,62.53,6,2,1,54.31,-6.7,435.2,46,Beginner
394,4,19,15,4,0.803,29.77,6,5,1,69.28,272.6,48.9,52,Intermediate
257,2,19,17,2,0.88,45.78,5,6,4,98.0,500.6,69.9,133,Advanced
65,4,30,3,27,0.084,52.1,7,6,0,54.45,69.6,454.5,104,Beginner
420,5,15,11,4,0.7,27.72,5,1,1,28.07,-127.2,-327.0,82,Beginner
226,1,17,16,1,0.917,14.75,6,6,3,98.0,680.8,-287.1,41,Advanced
251,1,20,19,1,0.946,22.07,6,7,1,90.88,398.6,-336.1,79,Advanced
186,4,11,1,10,0.05,70.59,3,0,0,46.3,-45.9,485.0,95,Beginner
92,2,30,6,24,0.189,52.55,6,0,1,20.23,-236.6,400.1,107,Beginner
464,5,21,16,5,0.785,23.66,7,7,2,91.95,413.2,186.3,14,Intermediate
391,4,24,22,2,0.935,31.0,8,6,1,86.45,416.3,-301.6,130,Advanced
322,5,16,12,4,0.775,27.62,5,6,4,98.0,775.8,-383.3,81,Advanced
202,4,24,9,15,0.374,48.31,6,1,0,58.77,95.9,197.9,54,Beginner
412,5,28,14,14,0.492,35.4,10,6,1,87.57,287.8,195.1,108,Intermediate
273,4,22,11,11,0.505,47.05,7,7,4,92.64,561.8,585.4,83,Intermediate
